Student_ID,Registration_No,Gender,Age,Course,Semester,Section,Total_Classes,Classes_Attended,Attendance_Percentage,Previous_Semester_GPA,Current_CGPA,Assignment_1,Assignment_2,Avg_Assignment_Score,Avg_Tutorial_Score,Avg_Pop_Quiz,Avg_Lab_Score,Mid_Term_Assessment,Final_Term_Assessment,Capstone_Project_Marks,Study_Habits,Disciplinary_Record,Internship_Status,Teacher_Remarks,Extracurricular_Feedback,Final_Obtained_Score,Student_Grade_Band
S-10594,REG-2026-1594,F,24,BS Info Tech,7,S3,50,37,74.0,3.05,3.11,55,76,65.5,57,78,67,65.0,76,57,Needs some guidance,Warning,Ongoing,Average performance. Needs to focus more on lab work.,Learning basics of music,68.65,Good
S-10595,REG-2026-1595,F,24,BS Data Science,4,S1,50,28,57.0,1.45,1.35,50,24,37.0,27,45,50,48.0,39,45,Last-minute crammer,Needs Improvement,Not Started,Irregular attendance and extremely poor focus in class.,Struggles to participate,43.75,Poor
S-10596,REG-2026-1596,F,25,BS Data Science,7,S1,50,23,46.0,1.19,2.91,36,49,42.5,53,41,39,42.0,36,47,Last-minute crammer,Needs Improvement,Not Started,Frequently misses deadlines and lacks motivation.,No interest,41.25,Poor
S-10597,REG-2026-1597,M,18,BS Info Tech,1,S2,50,23,46.0,2.27,2.08,31,22,26.5,29,50,29,43.0,28,34,Last-minute crammer,Needs Improvement,Not Started,Irregular attendance and extremely poor focus in class.,Struggles to participate,34.75,Poor
S-10598,REG-2026-1598,M,23,BS AI,3,S1,50,34,69.0,3.4,3.39,63,64,63.5,55,76,64,56.0,71,64,Needs some guidance,Warning,Not Started,Average performance. Needs to focus more on lab work.,Participates occasionally,65.1,Good
S-10599,REG-2026-1599,F,19,BS Software Eng,7,S2,50,48,97.0,3.55,3.3,98,86,92.0,83,93,85,84.0,94,98,Very consistent,Excellent,Completed,Brilliant understanding of core concepts. A joy to teach.,Shows leadership in sports,90.35,Excellent
S-10600,REG-2026-1600,M,18,BS Info Tech,1,S1,50,21,42.0,1.67,1.58,30,43,36.5,49,21,29,42.0,24,48,Rarely studies,Warning,Not Started,"Needs urgent improvement, counseling recommended.",Struggles to participate,33.85,Poor
S-10601,REG-2026-1601,F,20,BS Data Science,7,S1,50,21,43.0,1.4,2.91,21,48,34.5,37,42,26,21.0,51,23,Needs constant monitoring,Warning,Not Started,Irregular attendance and extremely poor focus in class.,No interest,34.8,Poor
S-10602,REG-2026-1602,M,25,BS Computer Science,6,S2,50,41,83.0,2.68,2.67,57,75,66.0,72,61,74,64.0,75,75,Last-minute crammer,Good,Not Started,No feedback provided,Participates occasionally,70.6,Good
S-10603,REG-2026-1603,M,21,BS Computer Science,1,S1,50,45,90.0,3.66,3.7,81,97,89.0,84,91,91,94.0,83,94,Very consistent,Excellent,Completed,"Highly proactive, consistent, and quick learner.",Active club president,89.3,Excellent
S-10604,REG-2026-1604,F,20,BS Data Science,8,S1,50,41,82.0,2.88,3.03,67,72,69.5,68,55,59,74.0,58,78,Last-minute crammer,Warning,Ongoing,Understands the basics but struggles with complex logic.,Learning basics of music,65.9,Good
S-10605,REG-2026-1605,F,22,BS Software Eng,6,S2,50,36,73.0,3.28,3.35,61,55,58.0,74,60,60,77.0,67,74,Occasional studier,Warning,Not Started,Good effort but needs more consistency in assignments.,Participates occasionally,67.7,Good
S-10606,REG-2026-1606,F,22,BS Info Tech,3,S3,50,36,73.0,3.12,2.99,65,59,62.0,76,62,62,71.0,67,65,Last-minute crammer,Good,Not Started,Good effort but needs more consistency in assignments.,Participates occasionally,66.6,Good
S-10607,REG-2026-1607,M,25,BS AI,6,S2,50,37,74.0,2.63,2.88,76,75,75.5,77,75,76,75.0,63,65,Last-minute crammer,Warning,Not Started,Good effort but needs more consistency in assignments.,Participates occasionally,71.25,Good
S-10608,REG-2026-1608,F,24,BS Software Eng,7,S1,50,28,56.0,1.39,1.62,29,46,37.5,48,49,40,35.0,48,52,Last-minute crammer,Probation,Not Started,Lacks fundamental understanding of the subject matter.,Shy and inactive,44.05,Poor
S-10609,REG-2026-1609,M,19,BS Computer Science,4,S1,50,18,36.0,1.54,1.41,31,34,32.5,52,25,41,39.0,46,23,Needs constant monitoring,Needs Improvement,Not Started,Lacks fundamental understanding of the subject matter.,Struggles to participate,37.9,Poor
S-10610,REG-2026-1610,M,22,BS Software Eng,2,S1,50,47,95.0,3.58,3.59,98,87,92.5,97,98,81,98.0,86,80,Very consistent,Excellent,Completed,Outstanding performance throughout the semester.,Active club president,89.9,Excellent
S-10611,REG-2026-1611,M,18,BS Info Tech,7,S3,50,36,72.69,3.0,3.19,72,57,64.5,70,66,69,56.0,55,68,Needs some guidance,Warning,Not Started,Good effort but needs more consistency in assignments.,Participates occasionally,62.3,Average
S-10612,REG-2026-1612,M,21,BS Software Eng,4,S1,50,39,79.0,3.16,3.3,74,66,70.0,69,57,72,67.0,66,75,Occasional studier,Warning,Not Started,"Participates occasionally, can definitely do better.",Learning basics of music,68.3,Good
S-10613,REG-2026-1613,F,20,BS Info Tech,2,S1,50,23,46.0,2.46,2.18,27,38,32.5,35,34,28,21.0,22,29,Rarely studies,Probation,Not Started,"Needs urgent improvement, counseling recommended.",Shy and inactive,27.5,Poor
S-10614,REG-2026-1614,F,21,BS AI,1,S1,50,38,77.0,3.23,3.51,56,65,60.5,59,58,72,71.0,57,65,Last-minute crammer,Good,Ongoing,Average performance. Needs to focus more on lab work.,Participates occasionally,64.4,Average
S-10615,REG-2026-1615,M,25,BS Data Science,1,S2,50,33,66.0,2.52,2.26,57,76,66.5,65,69,71,70.0,63,59,Needs some guidance,Warning,Ongoing,Good effort but needs more consistency in assignments.,Average sports player,66.4,Good
S-10616,REG-2026-1616,F,21,BS Info Tech,6,S2,50,23,46.0,1.06,1.14,20,49,34.5,50,20,26,51.0,22,27,Needs constant monitoring,Probation,Not Started,Frequently misses deadlines and lacks motivation.,No interest,32.55,Poor
S-10617,REG-2026-1617,F,24,BS Info Tech,8,S1,50,23,46.0,2.37,2.09,42,36,39.0,42,21,49,66.03,33,52,Needs constant monitoring,Warning,Not Started,Irregular attendance and extremely poor focus in class.,Shy and inactive,36.6,Poor
S-10618,REG-2026-1618,F,18,BS AI,1,S3,50,25,50.0,1.41,2.91,43,32,37.5,36,26,20,22.0,41,46,Last-minute crammer,Probation,Not Started,"Needs urgent improvement, counseling recommended.",Shy and inactive,32.9,Poor
S-10619,REG-2026-1619,M,21,BS Data Science,2,S3,50,21,43.0,1.45,1.55,40,37,38.5,46,48,48,32.0,46,32,Last-minute crammer,Probation,Not Started,Lacks fundamental understanding of the subject matter.,Shy and inactive,41.4,Poor
S-10620,REG-2026-1620,M,21,BS Data Science,2,S1,50,36,72.69,2.98,3.23,58,58,58.0,69,75,69,78.0,63,56,Occasional studier,Good,Not Started,Good effort but needs more consistency in assignments.,Participates occasionally,67.7,Good
S-10621,REG-2026-1621,F,19,BS Info Tech,6,S1,50,37,74.0,3.19,3.35,72,69,70.5,69,72,61,59.0,67,62,Needs some guidance,Warning,Not Started,No feedback provided,Average sports player,65.3,Good
S-10622,REG-2026-1622,M,19,BS Data Science,8,S1,50,16,32.0,1.38,1.65,41,25,33.0,42,33,38,25.0,37,23,Last-minute crammer,Probation,Not Started,Irregular attendance and extremely poor focus in class.,Shy and inactive,32.55,Poor
S-10623,REG-2026-1623,F,22,BS Data Science,8,S2,50,25,51.0,1.98,1.78,52,33,42.5,33,48,33,42.0,49,44,Needs constant monitoring,Probation,Not Started,Irregular attendance and extremely poor focus in class.,Shy and inactive,43.25,Poor
S-10624,REG-2026-1624,F,21,BS Software Eng,7,S2,50,44,88.0,3.55,3.39,86,94,90.0,94,86,80,93.0,91,90,Very consistent,Excellent,Completed,Shows excellent leadership and analytical skills.,Shows leadership in sports,89.05,Excellent
S-10625,REG-2026-1625,F,23,BS AI,5,S2,50,26,52.0,1.18,1.1,23,40,31.5,26,41,38,24.0,50,29,Needs constant monitoring,Probation,Not Started,Frequently misses deadlines and lacks motivation.,Shy and inactive,37.05,Poor
S-10626,REG-2026-1626,M,23,BS Data Science,3,S1,50,38,77.0,2.92,3.08,60,71,65.5,75,78,61,68.0,76,76,Last-minute crammer,Warning,Not Started,"Participates occasionally, can definitely do better.",Participates occasionally,71.3,Good
S-10627,REG-2026-1627,M,21,BS AI,5,S1,50,16,32.0,2.25,2.38,52,40,46.0,42,20,21,35.0,52,26,Rarely studies,Warning,Not Started,Irregular attendance and extremely poor focus in class.,Shy and inactive,36.05,Poor
S-10628,REG-2026-1628,F,23,BS AI,4,S3,50,43,86.0,3.6,3.77,97,81,89.0,86,97,84,98.0,91,99,Highly focused,Excellent,Completed,Shows excellent leadership and analytical skills.,Outstanding performer in arts,92.05,Excellent
S-10629,REG-2026-1629,F,24,BS Data Science,6,S1,50,32,65.0,2.93,2.94,73,65,69.0,62,55,67,66.0,78,59,Occasional studier,Good,Ongoing,Average performance. Needs to focus more on lab work.,Learning basics of music,67.4,Good
S-10630,REG-2026-1630,M,24,BS Computer Science,5,S3,50,34,69.0,2.57,2.38,60,59,59.5,63,74,56,64.0,58,75,Last-minute crammer,Good,Not Started,Understands the basics but struggles with complex logic.,Average sports player,63.15,Average
S-10631,REG-2026-1631,M,25,BS Computer Science,3,S2,50,39,79.0,2.56,2.27,70,75,72.5,73,61,71,58.0,77,68,Occasional studier,Warning,Not Started,Understands the basics but struggles with complex logic.,Participates occasionally,69.25,Good
S-10632,REG-2026-1632,F,23,BS Data Science,8,S2,50,47,94.0,3.93,3.91,99,89,94.0,80,89,93,86.0,94,98,Regular studier,Excellent,Completed,"Highly proactive, consistent, and quick learner.",Active club president,91.45,Excellent
S-10633,REG-2026-1633,F,24,BS Computer Science,8,S3,50,34,68.0,3.4,3.39,59,55,57.0,69,59,68,57.0,70,65,Occasional studier,Good,Ongoing,Average performance. Needs to focus more on lab work.,Participates occasionally,64.05,Average
S-10634,REG-2026-1634,F,25,BS Software Eng,3,S3,50,22,45.0,2.0,2.91,20,29,24.5,28,29,42,45.0,27,27,Needs constant monitoring,Needs Improvement,Not Started,No feedback provided,Struggles to participate,33.75,Poor
S-10635,REG-2026-1635,M,25,BS AI,8,S3,50,40,80.0,2.81,2.63,77,70,73.5,59,64,76,76.0,55,59,Occasional studier,Warning,Ongoing,"Participates occasionally, can definitely do better.",Average sports player,66.95,Good
S-10636,REG-2026-1636,F,18,BS Data Science,5,S3,50,33,66.0,3.06,2.94,62,70,66.0,61,62,59,58.0,77,55,Occasional studier,Warning,Not Started,"Participates occasionally, can definitely do better.",Participates occasionally,64.35,Average
S-10637,REG-2026-1637,F,24,BS AI,8,S3,50,24,49.0,2.32,2.18,47,22,34.5,46,24,33,25.0,45,36,Last-minute crammer,Warning,Not Started,Irregular attendance and extremely poor focus in class.,No interest,35.4,Poor
S-10638,REG-2026-1638,M,22,BS Info Tech,3,S2,50,28,56.0,1.28,1.18,45,23,34.0,28,48,43,22.0,40,50,Rarely studies,Needs Improvement,Not Started,Irregular attendance and extremely poor focus in class.,Shy and inactive,38.25,Poor
S-10639,REG-2026-1639,F,22,BS Data Science,7,S1,50,38,76.0,3.45,3.2,69,78,73.5,56,77,72,69.0,57,74,Last-minute crammer,Warning,Ongoing,"Participates occasionally, can definitely do better.",Average sports player,67.9,Good
S-10640,REG-2026-1640,M,18,BS Computer Science,1,S1,50,49,99.0,3.69,3.5,91,87,89.0,88,96,91,84.0,99,84,Regular studier,Excellent,Completed,Shows excellent leadership and analytical skills.,Active club president,91.45,Excellent
S-10641,REG-2026-1641,F,22,BS Software Eng,5,S3,50,41,83.0,3.43,3.27,60,75,67.5,64,78,66,76.0,73,74,Needs some guidance,Good,Ongoing,Average performance. Needs to focus more on lab work.,Learning basics of music,72.65,Good
S-10642,REG-2026-1642,M,18,BS Data Science,1,S2,50,43,86.0,3.81,3.76,89,84,86.5,93,89,96,95.0,99,95,Highly focused,Excellent,Completed,No feedback provided,Outstanding performer in arts,94.15,Excellent
S-10643,REG-2026-1643,M,22,BS Software Eng,6,S1,50,44,88.0,3.57,3.48,96,87,91.5,85,90,96,82.0,92,94,Regular studier,Excellent,Completed,Outstanding performance throughout the semester.,Shows leadership in sports,90.0,Excellent
S-10644,REG-2026-1644,M,23,BS Info Tech,4,S1,50,47,95.0,3.86,3.81,95,92,93.5,88,92,93,98.0,88,85,Regular studier,Excellent,Completed,Outstanding performance throughout the semester.,Outstanding performer in arts,91.75,Excellent
S-10645,REG-2026-1645,F,20,BS Software Eng,5,S1,50,41,83.0,3.48,3.49,74,69,71.5,75,63,64,61.0,60,78,Needs some guidance,Good,Ongoing,"Participates occasionally, can definitely do better.",Average sports player,65.95,Good
S-10646,REG-2026-1646,M,20,BS Computer Science,5,S2,50,36,73.0,2.73,2.9,59,55,57.0,74,57,73,63.0,57,59,Occasional studier,Warning,Ongoing,Good effort but needs more consistency in assignments.,Learning basics of music,62.45,Average
S-10647,REG-2026-1647,F,24,BS Software Eng,6,S1,50,22,45.0,1.63,1.42,22,36,29.0,44,51,27,48.0,22,26,Needs constant monitoring,Probation,Not Started,"Needs urgent improvement, counseling recommended.",Struggles to participate,34.2,Poor
S-10648,REG-2026-1648,M,21,BS Computer Science,8,S2,50,46,92.0,3.73,3.66,82,97,89.5,83,95,92,82.0,90,96,Highly focused,Excellent,Completed,Outstanding performance throughout the semester.,Active club president,89.5,Excellent
S-10649,REG-2026-1649,F,23,BS Data Science,8,S3,50,21,42.0,1.83,1.78,23,30,26.5,20,48,30,30.0,37,26,Rarely studies,Warning,Not Started,Irregular attendance and extremely poor focus in class.,Struggles to participate,32.9,Poor
S-10650,REG-2026-1650,M,24,BS Software Eng,5,S1,50,40,80.0,3.15,3.3,69,56,62.5,57,59,78,73.0,59,72,Last-minute crammer,Good,Not Started,"Participates occasionally, can definitely do better.",Learning basics of music,67.25,Good
S-10651,REG-2026-1651,F,25,BS AI,5,S3,50,33,66.0,3.02,3.04,72,62,67.0,59,71,57,78.0,72,64,Last-minute crammer,Good,Not Started,Average performance. Needs to focus more on lab work.,Participates occasionally,68.6,Good
S-10652,REG-2026-1652,F,23,BS AI,3,S1,50,33,66.0,2.86,2.71,60,65,62.5,73,69,65,61.0,75,55,Needs some guidance,Good,Ongoing,Understands the basics but struggles with complex logic.,Participates occasionally,66.3,Good
S-10653,REG-2026-1653,F,21,BS AI,4,S1,50,35,71.0,2.68,2.52,65,74,69.5,64,76,57,63.0,73,76,Needs some guidance,Warning,Not Started,Average performance. Needs to focus more on lab work.,Average sports player,68.3,Good
S-10654,REG-2026-1654,F,24,BS Info Tech,2,S1,50,23,46.0,1.38,1.12,37,40,38.5,23,38,29,26.0,22,37,Needs constant monitoring,Warning,Not Started,Lacks fundamental understanding of the subject matter.,Shy and inactive,29.85,Poor
S-10655,REG-2026-1655,F,18,BS Data Science,1,S1,50,38,76.0,2.73,2.91,55,64,59.5,77,55,65,62.0,70,69,Needs some guidance,Good,Not Started,"Participates occasionally, can definitely do better.",Learning basics of music,65.65,Good
S-10656,REG-2026-1656,F,22,BS Info Tech,2,S2,50,34,69.0,2.92,2.97,67,56,61.5,77,57,77,64.0,57,56,Last-minute crammer,Warning,Ongoing,Average performance. Needs to focus more on lab work.,Participates occasionally,63.35,Average
S-10657,REG-2026-1657,M,20,BS Software Eng,1,S1,50,41,83.0,3.42,3.2,66,58,62.0,67,73,57,67.0,67,74,Occasional studier,Good,Ongoing,No feedback provided,Learning basics of music,67.1,Good
S-10658,REG-2026-1658,F,18,BS Computer Science,8,S3,50,42,85.0,3.86,3.75,81,89,85.0,93,98,97,84.0,92,91,Very consistent,Excellent,Completed,Brilliant understanding of core concepts. A joy to teach.,Outstanding performer in arts,90.65,Excellent
S-10659,REG-2026-1659,M,18,BS Data Science,8,S3,50,36,72.0,3.05,3.07,72,78,75.0,68,73,72,78.0,77,75,Needs some guidance,Warning,Ongoing,Good effort but needs more consistency in assignments.,Average sports player,74.95,Good
S-10660,REG-2026-1660,F,23,BS AI,5,S3,50,24,48.0,1.47,1.26,33,44,38.5,52,50,30,46.0,30,46,Rarely studies,Needs Improvement,Not Started,Irregular attendance and extremely poor focus in class.,No interest,39.65,Poor
S-10661,REG-2026-1661,F,20,BS Data Science,5,S1,50,19,39.0,1.68,1.48,38,49,43.5,52,31,33,21.0,37,28,Last-minute crammer,Warning,Not Started,Lacks fundamental understanding of the subject matter.,No interest,33.2,Poor
S-10662,REG-2026-1662,M,21,BS AI,8,S3,50,32,65.0,2.66,2.82,61,57,59.0,74,76,71,72.0,72,58,Last-minute crammer,Warning,Ongoing,Average performance. Needs to focus more on lab work.,Average sports player,69.3,Good
S-10663,REG-2026-1663,F,23,BS Data Science,1,S1,50,49,99.0,3.83,3.8,91,90,90.5,93,84,99,90.0,83,92,Highly focused,Excellent,Completed,"Highly proactive, consistent, and quick learner.",Shows leadership in sports,89.85,Excellent
S-10664,REG-2026-1664,M,19,BS Software Eng,2,S2,50,46,92.0,3.67,3.83,95,84,89.5,85,81,83,66.03,98,90,Highly focused,Excellent,Completed,Shows excellent leadership and analytical skills.,Active club president,90.65,Excellent
S-10665,REG-2026-1665,F,21,BS Software Eng,2,S2,50,28,57.0,2.48,2.33,32,22,27.0,46,20,25,44.0,29,20,Needs constant monitoring,Needs Improvement,Not Started,"Needs urgent improvement, counseling recommended.",No interest,31.65,Poor
S-10666,REG-2026-1666,M,25,BS Software Eng,3,S3,50,38,76.0,3.14,2.98,77,60,68.5,76,73,71,67.0,74,72,Occasional studier,Good,Not Started,Good effort but needs more consistency in assignments.,Participates occasionally,71.5,Good
S-10667,REG-2026-1667,M,25,BS Computer Science,8,S3,50,34,68.0,3.44,3.21,55,63,59.0,60,56,61,68.0,73,73,Occasional studier,Warning,Not Started,Understands the basics but struggles with complex logic.,Learning basics of music,66.2,Good
S-10668,REG-2026-1668,F,18,BS Computer Science,2,S3,50,40,80.0,3.02,3.17,76,60,68.0,66,72,60,66.0,62,66,Last-minute crammer,Good,Not Started,Good effort but needs more consistency in assignments.,Participates occasionally,65.6,Good
S-10669,REG-2026-1669,F,25,BS Info Tech,8,S2,50,39,79.0,3.3,3.53,57,75,66.0,56,72,70,74.0,76,71,Needs some guidance,Good,Ongoing,Understands the basics but struggles with complex logic.,Average sports player,71.95,Good
S-10670,REG-2026-1670,M,22,BS Data Science,2,S2,50,33,66.0,3.37,3.29,72,70,71.0,67,77,70,60.0,55,76,Needs some guidance,Warning,Not Started,"Participates occasionally, can definitely do better.",Participates occasionally,65.3,Good
S-10671,REG-2026-1671,M,21,BS Software Eng,7,S3,50,41,83.0,3.09,2.87,61,57,59.0,68,67,60,66.0,56,60,Last-minute crammer,Warning,Not Started,"Participates occasionally, can definitely do better.",Learning basics of music,62.35,Average
S-10672,REG-2026-1672,M,21,BS Info Tech,1,S2,50,48,97.0,3.77,3.51,88,98,93.0,88,87,98,97.0,83,87,Regular studier,Excellent,Completed,"Highly proactive, consistent, and quick learner.",Outstanding performer in arts,90.8,Excellent
S-10673,REG-2026-1673,F,22,BS Computer Science,3,S3,50,32,65.0,2.7,2.78,59,66,62.5,58,78,76,74.0,73,71,Last-minute crammer,Good,Ongoing,Understands the basics but struggles with complex logic.,Participates occasionally,71.75,Good
S-10674,REG-2026-1674,M,19,BS Info Tech,6,S2,50,16,32.0,1.09,1.05,44,25,34.5,25,50,24,53.0,24,31,Rarely studies,Needs Improvement,Not Started,Lacks fundamental understanding of the subject matter.,Struggles to participate,34.6,Poor
S-10675,REG-2026-1675,M,24,BS AI,5,S1,50,26,53.0,2.39,2.17,29,28,28.5,29,49,50,26.0,23,53,Rarely studies,Needs Improvement,Not Started,Lacks fundamental understanding of the subject matter.,Shy and inactive,35.6,Poor
S-10676,REG-2026-1676,F,24,BS Computer Science,3,S3,50,41,82.0,3.47,3.18,71,77,74.0,61,55,71,74.0,55,61,Last-minute crammer,Warning,Ongoing,Average performance. Needs to focus more on lab work.,Learning basics of music,65.35,Good
S-10677,REG-2026-1677,F,19,BS Software Eng,8,S2,50,36,72.0,3.35,3.09,70,64,67.0,71,64,59,68.0,62,73,Last-minute crammer,Warning,Not Started,Average performance. Needs to focus more on lab work.,Average sports player,65.5,Good
S-10678,REG-2026-1678,F,20,BS Info Tech,4,S3,50,48,96.0,3.57,3.7,97,99,98.0,89,88,92,85.0,81,87,Regular studier,Excellent,Completed,Brilliant understanding of core concepts. A joy to teach.,Shows leadership in sports,87.6,Excellent
S-10679,REG-2026-1679,M,19,BS AI,5,S3,50,16,32.0,1.85,2.13,21,51,36.0,21,42,48,47.0,28,43,Rarely studies,Needs Improvement,Not Started,Irregular attendance and extremely poor focus in class.,Struggles to participate,38.35,Poor
S-10680,REG-2026-1680,F,21,BS Data Science,1,S1,50,40,81.0,3.41,3.69,77,75,76.0,68,57,64,77.0,78,67,Occasional studier,Good,Not Started,Good effort but needs more consistency in assignments.,Learning basics of music,71.95,Good
S-10681,REG-2026-1681,M,19,BS Info Tech,2,S2,50,45,90.0,3.79,3.91,85,87,86.0,84,81,92,94.0,82,87,Very consistent,Excellent,Completed,"Highly proactive, consistent, and quick learner.",Outstanding performer in arts,87.2,Excellent
S-10682,REG-2026-1682,M,23,BS Software Eng,4,S3,50,35,71.0,2.55,2.31,71,58,64.5,59,72,70,72.0,63,60,Needs some guidance,Warning,Ongoing,Good effort but needs more consistency in assignments.,Learning basics of music,66.8,Good
S-10683,REG-2026-1683,F,18,BS Computer Science,4,S3,50,37,75.0,3.44,3.65,65,69,67.0,57,70,62,64.0,65,61,Last-minute crammer,Good,Not Started,Average performance. Needs to focus more on lab work.,Participates occasionally,64.75,Average
S-10684,REG-2026-1684,M,23,BS Info Tech,5,S3,50,35,71.0,3.4,3.19,72,68,70.0,70,60,76,56.0,74,61,Occasional studier,Warning,Not Started,Good effort but needs more consistency in assignments.,Average sports player,67.25,Good
S-10685,REG-2026-1685,M,18,BS Info Tech,1,S1,50,41,83.0,3.42,3.4,78,62,70.0,58,77,55,72.0,71,62,Last-minute crammer,Warning,Ongoing,Good effort but needs more consistency in assignments.,Average sports player,68.35,Good
S-10686,REG-2026-1686,F,18,BS Info Tech,7,S2,50,39,79.0,3.03,2.9,57,64,60.5,58,66,78,69.0,71,66,Needs some guidance,Good,Ongoing,Understands the basics but struggles with complex logic.,Average sports player,69.35,Good
S-10687,REG-2026-1687,M,21,BS AI,6,S1,50,39,79.0,2.74,2.57,78,77,77.5,73,64,78,66.0,77,56,Occasional studier,Warning,Ongoing,Average performance. Needs to focus more on lab work.,Learning basics of music,71.5,Good
S-10688,REG-2026-1688,M,22,BS Data Science,6,S1,50,38,76.0,3.46,3.27,69,69,69.0,78,68,64,71.0,61,69,Occasional studier,Good,Ongoing,Average performance. Needs to focus more on lab work.,Average sports player,67.35,Good
S-10689,REG-2026-1689,F,25,BS AI,4,S2,50,15,31.0,2.23,1.96,25,45,35.0,53,44,47,42.0,50,50,Last-minute crammer,Needs Improvement,Not Started,Frequently misses deadlines and lacks motivation.,Shy and inactive,45.05,Poor
S-10690,REG-2026-1690,M,24,BS Software Eng,5,S1,50,38,77.0,2.7,2.48,72,76,74.0,63,70,58,70.0,64,71,Needs some guidance,Good,Ongoing,"Participates occasionally, can definitely do better.",Average sports player,67.2,Good
S-10691,REG-2026-1691,M,23,BS Info Tech,8,S3,50,35,70.0,2.73,2.7,75,59,67.0,60,58,74,78.0,75,59,Occasional studier,Warning,Ongoing,Understands the basics but struggles with complex logic.,Participates occasionally,70.35,Good
S-10692,REG-2026-1692,F,22,BS Software Eng,3,S2,50,49,98.0,3.93,3.73,83,91,87.0,98,90,93,97.0,81,89,Highly focused,Excellent,Completed,Outstanding performance throughout the semester.,Active club president,90.0,Excellent
S-10693,REG-2026-1693,M,24,BS AI,1,S3,50,36,72.0,3.28,3.31,65,72,68.5,68,69,66,61.0,62,59,Last-minute crammer,Warning,Not Started,"Participates occasionally, can definitely do better.",Participates occasionally,64.25,Average
S-10694,REG-2026-1694,M,19,BS Info Tech,2,S2,50,40,80.0,2.61,2.42,58,70,64.0,62,71,74,56.0,69,77,Last-minute crammer,Good,Ongoing,Good effort but needs more consistency in assignments.,Average sports player,67.85,Good
S-10695,REG-2026-1695,M,23,BS Data Science,5,S3,50,30,61.0,1.36,1.26,50,37,43.5,44,38,46,49.0,52,23,Last-minute crammer,Warning,Not Started,Irregular attendance and extremely poor focus in class.,Shy and inactive,45.4,Poor
S-10696,REG-2026-1696,F,18,BS AI,7,S1,50,41,82.0,3.41,3.6,77,63,70.0,71,68,63,69.0,62,59,Needs some guidance,Warning,Ongoing,"Participates occasionally, can definitely do better.",Average sports player,66.1,Good
S-10697,REG-2026-1697,M,25,BS Computer Science,7,S3,50,39,78.0,3.21,3.26,60,65,62.5,63,55,68,59.0,57,75,Needs some guidance,Warning,Ongoing,Average performance. Needs to focus more on lab work.,Average sports player,62.55,Average
S-10698,REG-2026-1698,M,20,BS Computer Science,7,S2,50,43,87.0,3.92,3.71,88,88,88.0,84,96,87,99.0,88,88,Highly focused,Excellent,Completed,"Highly proactive, consistent, and quick learner.",Shows leadership in sports,90.6,Excellent
S-10699,REG-2026-1699,F,24,BS AI,7,S2,50,34,69.0,2.71,2.61,76,78,77.0,78,64,72,76.0,64,59,Needs some guidance,Good,Ongoing,Understands the basics but struggles with complex logic.,Learning basics of music,69.35,Good
S-10700,REG-2026-1700,M,25,BS Computer Science,6,S3,50,46,93.0,3.91,3.93,99,96,97.5,87,94,94,90.0,81,95,Highly focused,Excellent,Completed,Brilliant understanding of core concepts. A joy to teach.,Shows leadership in sports,90.0,Excellent
S-10701,REG-2026-1701,M,20,BS AI,8,S2,50,38,76.0,2.9,3.17,66,72,69.0,75,70,70,62.0,67,68,Occasional studier,Warning,Not Started,"Participates occasionally, can definitely do better.",Average sports player,67.9,Good
S-10702,REG-2026-1702,F,18,BS Info Tech,4,S1,50,17,34.0,1.66,1.52,45,48,46.5,42,25,33,49.0,27,32,Rarely studies,Needs Improvement,Not Started,Irregular attendance and extremely poor focus in class.,No interest,35.65,Poor
S-10703,REG-2026-1703,M,18,BS AI,4,S2,50,40,81.0,2.74,2.44,61,70,65.5,78,71,77,68.0,71,78,Last-minute crammer,Warning,Ongoing,"Participates occasionally, can definitely do better.",Average sports player,72.3,Good
S-10704,REG-2026-1704,F,20,BS AI,8,S1,50,41,82.0,3.33,3.35,57,63,60.0,76,55,65,76.0,66,69,Occasional studier,Warning,Not Started,Understands the basics but struggles with complex logic.,Learning basics of music,67.75,Good
S-10705,REG-2026-1705,M,25,BS Data Science,2,S2,50,36,73.0,2.8,2.76,75,67,71.0,72,76,78,68.0,70,75,Occasional studier,Warning,Ongoing,Average performance. Needs to focus more on lab work.,Learning basics of music,72.25,Good
S-10706,REG-2026-1706,F,21,BS Software Eng,4,S3,50,34,68.0,2.52,2.67,62,75,68.5,73,77,73,78.0,60,75,Needs some guidance,Good,Not Started,Average performance. Needs to focus more on lab work.,Participates occasionally,70.65,Good
S-10707,REG-2026-1707,F,19,BS AI,6,S2,50,16,32.0,2.24,2.36,30,44,37.0,38,43,49,24.0,36,40,Last-minute crammer,Warning,Not Started,Frequently misses deadlines and lacks motivation.,No interest,36.65,Poor
S-10708,REG-2026-1708,M,23,BS Computer Science,5,S3,50,43,87.0,3.69,3.76,81,81,81.0,81,95,85,92.0,93,98,Very consistent,Excellent,Completed,Brilliant understanding of core concepts. A joy to teach.,Shows leadership in sports,90.2,Excellent
S-10709,REG-2026-1709,F,23,BS AI,2,S1,50,45,90.0,3.73,3.64,99,94,96.5,95,86,87,85.0,84,80,Regular studier,Excellent,Completed,Outstanding performance throughout the semester.,Active club president,86.55,Excellent
